iter,loss
1, 0.009684715420007706
2, 0.009059728123247623
3, 0.008447283878922462
4, 0.007918566465377808
5, 0.007432761136442423
6, 0.006987161003053188
7, 0.006571825593709946
8, 0.0062137204222381115
9, 0.005891894921660423
10, 0.005605420563369989
11, 0.005349411629140377
12, 0.005104671698063612
13, 0.004881798289716244
14, 0.004661270417273045
15, 0.004433283116668463
16, 0.004231887403875589
17, 0.004046390764415264
18, 0.0038923644460737705
19, 0.003742201952263713
20, 0.003613668028265238
21, 0.0035019151400774717
22, 0.003391557140275836
23, 0.0032831274438649416
24, 0.0031914704013615847
25, 0.0031027754303067923
26, 0.003020706819370389
27, 0.0029430489521473646
28, 0.0028740111738443375
29, 0.0028096227906644344
30, 0.00274393311701715
31, 0.002684422302991152
32, 0.0026208097115159035
33, 0.0025561910588294268
34, 0.0024964369367808104
35, 0.0024414898362010717
36, 0.0023908030707389116
37, 0.0023459307849407196
38, 0.0023043230175971985
39, 0.0022662568371742964
40, 0.00222789472900331
41, 0.0021908313501626253
42, 0.0021536957938224077
43, 0.002120626624673605
44, 0.002088543027639389
45, 0.0020576477982103825
46, 0.002026889706030488
47, 0.00200146553106606
48, 0.0019791608210653067
49, 0.001955734333023429
50, 0.001932329498231411
51, 0.001910321763716638
52, 0.001888141268864274
53, 0.001866077072918415
54, 0.0018485598266124725
55, 0.001829872839152813
56, 0.001809622161090374
57, 0.0017922375118359923
58, 0.0017730726394802332
59, 0.0017526180017739534
60, 0.0017341061029583216
61, 0.0017171235522255301
62, 0.0017000570660457015
63, 0.0016846840735524893
64, 0.0016692783683538437
65, 0.0016549329739063978
66, 0.0016411300748586655
67, 0.0016271981876343489
68, 0.0016137429047375917
69, 0.0015977515140548348
70, 0.0015837543178349733
71, 0.0015693341847509146
72, 0.0015569523675367236
73, 0.0015462746378034353
74, 0.0015345875872299075
75, 0.0015232897130772471
76, 0.0015120080206543207
77, 0.001503381528891623
78, 0.001493845134973526
79, 0.0014826838159933686
80, 0.0014730360126122832
81, 0.001464497996494174
82, 0.0014558874536305666
83, 0.0014459805097430944
84, 0.001435257843695581
85, 0.0014253928093239665
86, 0.0014156678225845098
87, 0.0014087597373872995
88, 0.0013994131004437804
89, 0.0013938464689999819
90, 0.0013852203264832497
91, 0.0013772808015346527
92, 0.001370204845443368
93, 0.001362530398182571
94, 0.0013557220809161663
95, 0.0013491996796801686
96, 0.0013436190783977509
97, 0.0013369760708883405
98, 0.0013291653012856841
99, 0.0013227476738393307
100, 0.001315848552621901
